path,field,class,reason
Area of import > Goods measure (per procedure) > Supporting documents (for goods),Issuing authority name,I,importer attachments
Area of import > Goods measure (per procedure) > Supporting documents (for goods),Validity start date,I,importer attachments
Area of import > Goods measure (per procedure) > Supporting documents (for goods),Validity end date,I,importer attachments
Area of import > Goods measure (per procedure) > Supporting documents (for goods),Description,I,importer attachments
Area of import > Goods measure (per procedure) > Supporting documents (for goods) > Attachments,Filename,A,attachments
Area of import > Goods measure (per procedure) > Supporting documents (for goods) > Attachments,Universal Resource Identified,A,attachments
Area of import > Goods measure (per procedure) > Supporting documents (for goods) > Attachments,Multipurpose Internet Mail Extensions,A,attachments
Area of import > Goods measure (per procedure) > Supporting documents (for goods) > Attachments,Included binary object,A,attachments
Area of import > Goods measure (per procedure) > Remarks,Additional information,A,free text
Area of import > Goods measure (per procedure) > CBAM goods’ emissions,Emissions sequence number,S,operator data
Area of import > Goods measure (per procedure) > CBAM goods’ emissions,Country of production,S,operator data
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > The company name of the installation,Operator ID,S,"operator identity; invoice often shows trader, not installation"
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > The company name of the installation,Operator name,S,"operator identity; invoice often shows trader, not installation"
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > The company name of the installation > Address,Country code,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > The company name of the installation > Address,Sub-division,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > The company name of the installation > Address,City,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > The company name of the installation > Address,Street,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > The company name of the installation > Address,Street additional line,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > The company name of the installation > Address,Number,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > The company name of the installation > Address,Postcode,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > The company name of the installation > Address,P.O. Box,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > The company name of the installation > Contact details,Name,S,operator
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > The company name of the installation > Contact details,Phone number,S,operator
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > The company name of the installation > Contact details,e-mail,S,operator
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation,Installation ID,S,"installation ID, coordinates, UNLOCODE"
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation,Installation name,S,"installation ID, coordinates, UNLOCODE"
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation,Economic activity,S,"installation ID, coordinates, UNLOCODE"
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation > Address,Country of establishment,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation > Address,Sub-division,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation > Address,City,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation > Address,Street,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation > Address,Street additional line,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation > Address,Number,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation > Address,Postcode,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation > Address,P.O. Box,A,address
