month,total,oil,gas,solar,wind,ef_mid,ef_lo,ef_hi,res_share
2021-01,390.298,339.028,0,22.335,25.094,0.6949110679532051,0.6080471844590544,0.7817749514473556,0.1215199667946031
2021-02,337.697,285.877,0,28.677,19.843,0.6772390634207589,0.592584180493164,0.7618939463483537,0.14367909694193315
2021-03,347.749,279.371,0,35.664,29.015,0.6426957374428107,0.5623587702624593,0.723032704623162,0.18599334577525745
2021-04,299.321,238.89,0,36.655,19.815,0.6384851046201234,0.558674466542608,0.718295742697639,0.18866033455721448
2021-05,351.801,277.056,0,51.976,18.903,0.6300289083885492,0.5512752948399805,0.7087825219371178,0.2014746973431002
2021-06,408.169,336.223,0,48.519,19.801,0.6589878212211119,0.5766143435684729,0.7413612988737509,0.16738164828784155
2021-07,587.898,512.663,0,52.685,19.274,0.6976216962806473,0.6104189842455664,0.7848244083157282,0.12240048443777662
2021-08,596.719,522.93,0,50.441,20.343,0.7010737047085813,0.6134394916200085,0.788707917797154,0.11862199795883825
2021-09,450.832,381.808,0,48.972,16.992,0.6775171238953757,0.5928274834084537,0.7622067643822976,0.14631614437307022
2021-10,374.863,312.536,0,42.538,16.517,0.6669871393015582,0.5836137468888634,0.7503605317142529,0.15753755371962555
2021-11,334.297,280.936,0,33.352,16.639,0.6723027726841699,0.5882649260986487,0.7563406192696912,0.14954067790019054
2021-12,399.49,349.568,0,22.085,24.242,0.7000285363838895,0.6125249693359032,0.7875321034318756,0.11596535582868156
2022-01,467.952,409.281,0,28.137,27.283,0.6996974048620371,0.6122352292542824,0.7871595804697918,0.11843095018292475
2022-02,382.188,329.323,0,32.379,17.368,0.6893424178676463,0.6031746156341904,0.775510220101102,0.13016368907448692
2022-03,443.609,371.669,0,40.909,27.673,0.6702641289964811,0.586481112871921,0.7540471451210413,0.15460010955593775
2022-04,316.227,236.377,0,54.947,21.502,0.5979932137357026,0.5232440620187397,0.6727423654526654,0.24175355045584343
2022-05,358.884,275.075,0,59.788,20.86,0.613178631535538,0.5365313025935956,0.6898259604774801,0.22471885065926592
2022-06,424.63,340.068,0,63.648,17.829,0.6406857734969267,0.5606000518098108,0.7207714951840426,0.19187763464663354
